reg,name,section
2022-CS-001,Gilbert Smith,B
2022-CS-002,Dakota Conley,B
2022-CS-003,Heather Bruce,A
2022-CS-004,James Thomas,D
2022-CS-005,Wanda Simpson,B
2022-CS-006,Stephen Scott,A
2022-CS-007,Michelle Davenport,D
2022-CS-008,Aaron Smith,C
2022-CS-009,Tiffany Knox,C
2022-CS-010,Lonnie Brown,C
2022-CS-011,Eric Carter,D
2022-CS-012,James Martinez,C
2022-CS-013,John Cooper,C
2022-CS-014,Michael Hill,A
2022-CS-015,Joseph Koch,B
2022-CS-016,Marcus Smith,B
2022-CS-017,Jason Saunders,D
2022-CS-018,Michael Alvarez,B
2022-CS-019,Dr. Valerie Harrell MD,C
2022-CS-020,Joshua Black,D
2022-CS-021,Mark Turner,D
2022-CS-022,Marilyn Benson,D
2022-CS-023,James Bryant,A
2022-CS-024,Nicole Wells,A
2022-CS-025,Zachary Martin,A
2022-CS-026,Brenda Clarke,B
2022-CS-027,Alicia Moon DDS,B
2022-CS-028,Kathy Smith,B
2022-CS-029,Stephanie Campbell,B
2022-CS-030,Gregory Evans,C
2022-CS-031,Frank Cohen,C
2022-CS-032,Corey Tran,C
2022-CS-033,Tina Montgomery,A
2022-CS-034,Richard Sharp,A
2022-CS-035,Carly Sanchez,D
2022-CS-036,Leslie Russell,D
2022-CS-037,Sarah Delgado,D
2022-CS-038,Laura Wolfe,A
2022-CS-039,Renee Gutierrez,B
2022-CS-040,Jeffery Contreras,A
2022-CS-041,Kim Liu,C
2022-CS-042,Lori Dixon,B
2022-CS-043,Lisa Williams,D
2022-CS-044,Christian Lloyd,A
2022-CS-045,Jessica Martinez,A
2022-CS-046,Tracy Murphy,C
2022-CS-047,John Medina,D
2022-CS-048,Anita Mack,D
2022-CS-049,Amy Reed,C
2022-CS-050,Paul Greene,B
2022-CS-051,James Vargas,D
2022-CS-052,Deborah Morgan,C
2022-CS-053,Kelly Green,D
2022-CS-054,Jessica West,B
2022-CS-055,Brenda Anderson,D
2022-CS-056,David Murphy,D
2022-CS-057,Tonya Dougherty,B
2022-CS-058,David Holland,B
2022-CS-059,Jerry Thompson,D
2022-CS-060,John Davis,D
2022-CS-061,Kathryn Foley,D
2022-CS-062,Edwin Hunter,B
2022-CS-063,Adrian Washington,C
2022-CS-064,Diana Cox,A
2022-CS-065,Justin Wells,C
2022-CS-066,Christina Mendez,C
2022-CS-067,Douglas Davis DDS,C
2022-CS-068,Jose Soto,B
2022-CS-069,Christy Torres,A
2022-CS-070,Holly Wilson,C
2022-CS-071,Richard Richardson,C
2022-CS-072,Hunter Garcia,D
2022-CS-073,David Pierce,B
2022-CS-074,Theresa Peterson,C
2022-CS-075,Mitchell Martin,C
2022-CS-076,Elizabeth Miller,A
2022-CS-077,Ryan Garza,B
2022-CS-078,Jennifer Coffey,B
2022-CS-079,Tamara Reese MD,C
2022-CS-080,Margaret Moore,C
2022-CS-081,Christopher Morgan,B
2022-CS-082,Kristen Townsend,C
2022-CS-083,Matthew Martin,B
2022-CS-084,Scott Baldwin,D
2022-CS-085,Randy Larsen,A
2022-CS-086,Kathy Lopez,D
2022-CS-087,Lindsay Mcfarland,B
2022-CS-088,Richard Chen,A
2022-CS-089,Robert Kim,A
2022-CS-090,Karen Hughes,A
2022-CS-091,Dawn Johnson,A
2022-CS-092,Juan Bentley PhD,A
2022-CS-093,Matthew Larson,C
2022-CS-094,Denise Sanchez,B
2022-CS-095,Paul Parsons,C
2022-CS-096,Rebecca Campbell,A
2022-CS-097,Jennifer Baird,A
2022-CS-098,Matthew Murray,A
2022-CS-099,Kristen Bailey DDS,A
2022-CS-100,Billy Guerrero,D
2022-CS-101,Nathan Long,B
2022-CS-102,Vanessa Anderson,D
2022-CS-103,Martin Calhoun,A
2022-CS-104,Lori Fernandez,C
2022-CS-105,Nicole Hall,B
2022-CS-106,James Walker,A
2022-CS-107,Jason Evans,C
2022-CS-108,Richard Marquez,D
2022-CS-109,Catherine York,A
2022-CS-110,George Collins,B
2022-CS-111,Pamela Hatfield,C
2022-CS-112,Natalie Murphy,C
2022-CS-113,Donna Mendez,B
2022-CS-114,Richard Walter,A
2022-CS-115,Lisa Massey,A
2022-CS-116,Kylie Dominguez,C
2022-CS-117,Cheyenne French,D
2022-CS-118,Brandi Ruiz,A
2022-CS-119,Jessica Anderson,B
2022-CS-120,Tom Hahn MD,C
2022-CS-121,Thomas Massey,D
2022-CS-122,Jared Rodriguez,C
2022-CS-123,Timothy Cortez,C
2022-CS-124,David Mccormick,A
2022-CS-125,Mary Williams,D
2022-CS-126,Mariah Moore,D
2022-CS-127,Carrie Lee,A
2022-CS-128,Elizabeth Ferguson,A
2022-CS-129,Monique Glenn,C
2022-CS-130,Lori Franklin,C
2022-CS-131,Julie Thomas,D
2022-CS-132,Karen Rodriguez,B
2022-CS-133,Madison Harris,B
2022-CS-134,Darius Williams,D
2022-CS-135,Lori Graves,B
2022-CS-136,Jeremiah Martin,B
2022-CS-137,Andrea White,A
2022-CS-138,Stephen Guzman,B
2022-CS-139,Matthew Perry,A
2022-CS-140,Jamie Lopez,C
2022-CS-141,Daniel Mcdaniel,B
2022-CS-142,Heather Clark,C
2022-CS-143,Jeffrey Harvey,B
2022-CS-144,Mindy Griffin,A
2022-CS-145,Jordan Taylor,A
2022-CS-146,Dylan Wilson,D
2022-CS-147,Darren Hernandez,B
2022-CS-148,Justin Nguyen DVM,D
2022-CS-149,Anne Jenkins,A
2022-CS-150,Lisa Collins,C
2022-CS-151,Nicole Cabrera,C
2022-CS-152,Yvonne Johnson,C
2022-CS-153,Ronald Rice,A
2022-CS-154,Brandon Miller,B
2022-CS-155,John Clayton,A
2022-CS-156,Leroy Foster,A
2022-CS-157,Rebecca Joseph,C
2022-CS-158,Jose Nelson,B
2022-CS-159,Emily Thompson,C
2022-CS-160,Anna James,B
2022-CS-161,Troy Smith,D
2022-CS-162,April Chavez,B
2022-CS-163,Willie Schultz,A
2022-CS-164,Sandra Sullivan,C
2022-CS-165,Michelle Gonzalez,A
2022-CS-166,Melissa Floyd,D
2022-CS-167,Eric Potts,D
2022-CS-168,Sonya Shepherd,A
2022-CS-169,Andrea Peterson,B
2022-CS-170,Amy Gray,C
2022-CS-171,Samantha Clark,D
