reg,name,section
2024-CS-001,Connie Gordon,A
2024-CS-002,Brenda Klein,D
2024-CS-003,Melissa Tran,D
2024-CS-004,Stephanie Harris,A
2024-CS-005,Dr. Kevin Anderson,A
2024-CS-006,Donald Harrington,B
2024-CS-007,Jon Young,A
2024-CS-008,Joan Allen,D
2024-CS-009,Sherry Palmer,D
2024-CS-010,Cheryl Foster,B
2024-CS-011,Tina Williams,A
2024-CS-012,Charles Wade,C
2024-CS-013,Wesley Mitchell DDS,A
2024-CS-014,Paul Clarke,C
2024-CS-015,Norman Delgado,D
2024-CS-016,Allison Mullen,C
2024-CS-017,Maria Porter,A
2024-CS-018,Jessica Smith,A
2024-CS-019,Dakota Avila,C
2024-CS-020,Tim Benson,B
2024-CS-021,Samantha Wood,C
2024-CS-022,Patrick Tate,D
2024-CS-023,Erika Walter,A
2024-CS-024,Linda Bennett,D
2024-CS-025,Heather Hancock,A
2024-CS-026,Michael Maldonado,B
2024-CS-027,Victor Morgan,A
2024-CS-028,Natalie Henry,A
2024-CS-029,Rebecca Miles,B
2024-CS-030,Vicki Sanchez,D
2024-CS-031,Scott Phelps,B
2024-CS-032,Michael Meadows,A
2024-CS-033,Tanya Taylor,D
2024-CS-034,Ronald Smith,A
2024-CS-035,Zachary Barrera,A
2024-CS-036,Kimberly Stone,B
2024-CS-037,Amy Smith,B
2024-CS-038,David Berry,B
2024-CS-039,Samantha Raymond,C
2024-CS-040,Michelle Ramirez,C
2024-CS-041,James Henderson,B
2024-CS-042,Samuel Ortega,D
2024-CS-043,Thomas Nichols,C
2024-CS-044,Taylor Knox,D
2024-CS-045,Jessica Arnold,B
2024-CS-046,Kyle Pollard,D
2024-CS-047,Pamela Frank,D
2024-CS-048,Anthony Hickman,C
2024-CS-049,Kimberly Madden,A
2024-CS-050,Tasha Benson,C
2024-CS-051,Rebecca Dixon,B
2024-CS-052,Ashley Gutierrez,B
2024-CS-053,Andre Henderson,A
2024-CS-054,Rebecca Powers,B
2024-CS-055,Joseph Diaz,C
2024-CS-056,Christine Bradley,A
2024-CS-057,Michael Smith,B
2024-CS-058,Robert Young,A
2024-CS-059,Robert Black,B
2024-CS-060,Hannah Pittman,A
2024-CS-061,Joel Sheppard,C
2024-CS-062,Chelsea Foley,C
2024-CS-063,William Foley,C
2024-CS-064,Amber Robinson PhD,B
2024-CS-065,Heather Davis,B
2024-CS-066,Christina Burton,A
2024-CS-067,Robert Briggs,A
2024-CS-068,Craig Moore,D
2024-CS-069,Sara Payne,A
2024-CS-070,Angel Smith,C
2024-CS-071,Robert Atkinson,A
2024-CS-072,Allen Francis,D
2024-CS-073,Jody Wilson,A
2024-CS-074,Jesus James,A
2024-CS-075,Kayla Brown,B
2024-CS-076,Lori Stone,C
2024-CS-077,Matthew Marsh,A
2024-CS-078,Amber Sosa,C
2024-CS-079,Brett Rojas,C
2024-CS-080,Cindy Williams,B
2024-CS-081,Jermaine Brown,C
2024-CS-082,Jamie Oneal,A
2024-CS-083,Brittany Saunders,C
2024-CS-084,Sarah Collier,C
2024-CS-085,Pamela Williams,A
2024-CS-086,Amber Phillips,D
2024-CS-087,Michael Smith,A
2024-CS-088,Gregory Zuniga,C
2024-CS-089,Andrew Rogers,C
2024-CS-090,Bryan Cole,B
2024-CS-091,Jessica Cobb,A
2024-CS-092,Matthew Clark DDS,B
2024-CS-093,Brandon Johnston,A
2024-CS-094,Mr. Larry Weaver,D
2024-CS-095,Lisa Jackson,D
2024-CS-096,Caitlin Wilson,A
2024-CS-097,John Clark,D
2024-CS-098,Amber Chandler,B
2024-CS-099,Jill Washington,A
2024-CS-100,Angel Lewis,C
2024-CS-101,Kimberly Calderon,B
2024-CS-102,Brittany Smith,D
2024-CS-103,Felicia Berry,A
2024-CS-104,Jose Gonzales,B
2024-CS-105,Jose Hardin,C
2024-CS-106,Joann Ford,D
2024-CS-107,Thomas Ramirez,B
2024-CS-108,Garrett Mcguire,D
2024-CS-109,Christopher Campbell,C
2024-CS-110,Randy Anderson,A
2024-CS-111,Janet Obrien,C
2024-CS-112,Danielle Ford,D
2024-CS-113,Gregory Page,A
2024-CS-114,John Downs,B
2024-CS-115,Rachel Williams,C
2024-CS-116,Jennifer Jones,C
2024-CS-117,Sheila Mccoy,A
2024-CS-118,Steven Brown,D
2024-CS-119,Ian Guerra DDS,A
2024-CS-120,Alexis Thompson,B
2024-CS-121,Christina Jenkins,D
2024-CS-122,Christopher Schroeder,D
2024-CS-123,Samantha Hunt,C
2024-CS-124,John Williams,D
2024-CS-125,Mrs. Jennifer Andersen,A
2024-CS-126,Paul Wright,B
2024-CS-127,Kimberly Brock,B
2024-CS-128,Megan Lee,B
2024-CS-129,Lisa Fitzgerald,D
2024-CS-130,Katelyn Baker,C
2024-CS-131,Daniel Carter DVM,D
2024-CS-132,Lindsey Garcia,A
2024-CS-133,John Duran,D
2024-CS-134,Patricia Jefferson,B
2024-CS-135,Michael Stevenson,C
2024-CS-136,Pamela Casey,C
2024-CS-137,Paul Gould,D
2024-CS-138,Wendy Salas MD,B
2024-CS-139,Rebecca Franklin,A
2024-CS-140,Bradley Smith,C
2024-CS-141,Rachel Campbell,C
2024-CS-142,Pamela Nunez,C
2024-CS-143,Amy Green,B
2024-CS-144,Travis Johnson,B
2024-CS-145,Sheryl Washington,B
2024-CS-146,Danielle Ramirez,B
2024-CS-147,Eric Evans,D
2024-CS-148,Nicholas Phelps,D
2024-CS-149,Caitlyn Douglas,B
2024-CS-150,Tanya Daniels,C
2024-CS-151,Regina Phillips,A
2024-CS-152,Leslie Stephens,B
2024-CS-153,Jose Clark,A
